--- ABOUT ---
"IFB Industries Limited originally known as Indian Fine Blanks Limited started its operations in India in 1974 in collaboration with Heinrich Schmid AG of Switzerland. [1] The company operates two businesses--manufacturing of consumer durables and producing fine blank components (part of engineering segment) and goods. It manufactures fine blanking components for two wheelers, four wheelers, heavy vehicles and electrical OEMs. The company has a diversified product portfolio, comprising front- and top-load washing machines, dryers, ACs, microwave ovens, dishwashers, modular kitchens and chimneys. [2]"

--- STOCK INFO ---
Market Cap,Current Price,High / Low,Stock P/E
"5,205","1,284","2,025",33.8

Book Value,Dividend Yield,ROCE,ROE
246,0.00,20.3,16.8

Face Value
10.0

--- QUARTERLY RESULTS ---
,Mar 2023,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Sales +,"1,010","1,086","1,101","1,161","1,090","1,269","1,219","1,270","1,334","1,338","1,370","1,413","1,498"
Expenses +,984,"1,055","1,038","1,103","1,048","1,190","1,154","1,186","1,278","1,277","1,272","1,338","1,420"
Operating Profit,26,30,63,58,42,79,66,83,56,62,98,74,79
OPM %,3%,3%,6%,5%,4%,6%,5%,7%,4%,5%,7%,5%,5%
Other Income +,9,8,6,7,11,7,13,4,11,10,7,-6,13
Interest,8,7,7,7,7,5,4,8,7,6,5,5,5
Depreciation,34,30,30,32,32,30,31,38,34,31,30,31,30
Profit before tax,-6,1,31,26,15,51,43,42,27,35,70,32,56
Tax %,72%,211%,31%,34%,19%,27%,27%,26%,29%,25%,27%,24%,24%
Net Profit +,-10,-1,22,17,12,38,31,31,19,26,51,24,43
EPS in Rs,-2.45,-0.15,5.31,4.31,2.96,9.26,7.75,7.67,4.66,6.46,12.53,5.91,10.53
Raw PDF,,,,,,,,,,,,,

--- ANNUAL RESULTS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales +,"1,758","2,220","2,657","2,637","2,801","3,415","4,195","4,438","5,092","5,619"
Expenses +,"1,657","2,060","2,529","2,514","2,588","3,367","4,031","4,242","4,805","5,303"
Operating Profit,102,160,128,123,213,49,164,196,287,317
OPM %,6%,7%,5%,5%,8%,1%,4%,4%,6%,6%
Other Income +,13,16,32,14,22,28,23,32,35,19
Interest,6,7,8,18,34,35,33,31,27,21
Depreciation,44,54,58,92,102,115,122,124,132,122
Profit before tax,65,115,94,27,99,-74,32,73,163,192
Tax %,20%,31%,24%,4%,35%,-35%,54%,31%,27%,25%
Net Profit +,52,79,71,26,64,-48,15,50,119,144
EPS in Rs,13.15,19.98,18.00,6.76,15.82,-11.89,3.69,12.43,29.35,35.43
Dividend Payout %,0%,0%,0%,0%,0%,0%,0%,0%,0%,0%

--- BALANCE SHEET ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Equity Capital,41,41,41,41,41,41,41,41,41,41
Reserves,428,507,577,605,655,607,626,676,801,954
Borrowings +,40,32,31,357,293,363,353,164,250,156
Other Liabilities +,397,538,619,662,903,"1,019","1,086","1,298","1,266","1,333"
Total Liabilities,907,"1,118","1,268","1,665","1,891","2,030","2,107","2,180","2,358","2,484"
Fixed Assets +,329,339,358,625,654,698,695,629,695,701
CWIP,14,7,24,10,21,15,21,16,14,14
Investments,54,93,27,153,260,229,186,263,254,313
Other Assets +,509,679,859,877,956,"1,088","1,205","1,271","1,395","1,456"
Total Assets,907,"1,118","1,268","1,665","1,891","2,030","2,107","2,180","2,358","2,484"

--- CASH FLOW ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Cash from Operating Activity +,85,124,45,184,292,51,106,351,118,299
Cash from Investing Activity +,-95,-92,-33,-374,-187,-27,-6,-137,-90,-152
Cash from Financing Activity +,9,-13,-5,223,-112,-51,-94,-186,-23,-138
Net Cash Flow,-2,20,6,33,-7,-28,6,28,5,9
Free Cash Flow,21,86,-4,-39,200,-22,40,286,12,190
CFO/OP,97%,91%,55%,158%,140%,116%,66%,184%,57%,111%

--- RATIOS ---
,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,30,31,34,28,35,33,36,38,31,28
Inventory Days,87,93,94,94,108,102,82,75,79,68
Days Payable,97,112,107,116,153,144,118,135,111,106
Cash Conversion Cycle,19,11,22,6,-10,-8,-1,-22,-1,-10
Working Capital Days,9,14,18,5,-9,-14,-7,-11,-2,19
ROCE %,,20%,13%,5%,13%,-4%,6%,10%,17%,20%

--- SHAREHOLDING PATTERN ---
,Jun 2023,Sep 2023,Dec 2023,Mar 2024,Jun 2024,Sep 2024,Dec 2024,Mar 2025,Jun 2025,Sep 2025,Dec 2025,Mar 2026
Promoters +,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%,74.96%
FIIs +,1.84%,0.65%,0.70%,0.75%,0.83%,1.11%,0.91%,1.06%,0.76%,0.92%,0.96%,0.92%
DIIs +,4.18%,4.43%,3.57%,6.59%,6.74%,6.70%,6.80%,6.41%,6.26%,6.22%,6.03%,6.16%
Public +,19.02%,19.96%,20.77%,17.71%,17.46%,17.22%,17.33%,17.57%,18.02%,17.89%,18.04%,17.96%
No. of Shareholders,"26,825","26,991","26,731","26,080","28,240","30,842","31,350","35,673","33,469","31,348","31,477","33,569"

--- CAGR BOXES ---




